time,src,dst,delay_ms,bandwidth,loss,jitter_ms,queue_delay_ms,bandwidth_util
0,access_0,edge_0,13.40002,44.59555,0.004321,1.22123,2.14065,0.57054
0,access_0,edge_1,13.27366,43.91099,0.007537,1.38197,2.2147,0.59589
0,access_0,edge_2,14.90094,44.17465,0.003902,1.04242,2.44546,0.58612
0,access_0,edge_3,12.66388,45.27911,0.006042,0.88045,1.93328,0.54522
0,access_0,edge_4,14.35083,44.58934,0.000785,1.16412,2.29347,0.57077
0,access_1,edge_0,15.30876,44.74734,0.002669,1.44772,2.42147,0.56491
0,access_1,edge_1,12.65384,44.55093,0.00578,1.21845,2.0273,0.57219
0,access_1,edge_2,13.9792,45.418,0.004758,1.03876,2.11394,0.54007
0,access_1,edge_3,13.41482,46.17927,0.004786,1.22823,1.92269,0.51188
0,access_1,edge_4,15.74498,43.98528,0.00547,1.3983,2.6149,0.59314
0,edge_0,cloud_0,52.59674,64.07986,0.002574,4.3388,8.05471,0.54693
0,edge_1,cloud_0,50.76674,62.74593,0.009994,4.64699,8.27019,0.58181
0,edge_2,cloud_0,49.93065,63.71407,0.00298,4.23768,7.78012,0.55649
0,edge_3,cloud_0,50.63078,64.98092,0.006774,3.87873,7.41968,0.52337
0,edge_4,cloud_0,51.69465,63.91101,0.000837,4.51245,7.98046,0.55135
0,edge_0,edge_1,9.86534,45.22972,0.003211,0.52206,1.51111,0.54705
0,edge_1,edge_2,13.65189,44.25133,0.00142,1.1083,2.22962,0.58328
0,edge_2,edge_3,13.34509,43.47888,0.003579,1.47876,2.28642,0.61189
0,edge_3,edge_4,13.87976,44.01077,0.004054,1.14617,2.30146,0.59219
0,edge_4,edge_0,15.25079,45.76837,0.005809,1.02836,2.25082,0.5271
1,access_0,edge_0,12.14442,44.08666,0.005636,1.33291,2.00416,0.58938
1,access_0,edge_1,14.12101,44.69734,0.002625,0.97881,2.24092,0.56677
1,access_0,edge_2,10.90525,44.80081,0.005053,1.05251,1.7189,0.56293
1,access_0,edge_3,14.78168,44.47354,0.002743,1.10589,2.38007,0.57505
1,access_0,edge_4,14.87399,46.0481,0.005608,1.19758,2.15206,0.51674
1,access_1,edge_0,13.56581,44.63217,0.006027,1.16617,2.16198,0.56918
1,access_1,edge_1,12.81153,45.56638,0.001958,1.30887,1.91766,0.53458
1,access_1,edge_2,13.86166,43.95651,0.004368,1.43281,2.30626,0.5942
1,access_1,edge_3,14.14183,42.7552,0.006066,1.2367,2.52905,0.6387
1,access_1,edge_4,14.89891,44.77104,0.001138,1.09008,2.35299,0.56404
1,edge_0,cloud_0,52.02569,63.68982,0.001787,4.56093,8.1158,0.55713
1,edge_1,cloud_0,50.92131,63.80831,0.001316,4.39611,7.89936,0.55403
1,edge_2,cloud_0,51.06862,63.77655,0.003994,3.97303,7.93408,0.55486
1,edge_3,cloud_0,48.82077,64.6826,0.00392,4.27631,7.26105,0.53117
1,edge_4,cloud_0,51.01126,63.16682,0.005032,4.62852,8.15285,0.5708
1,edge_0,edge_1,12.03799,46.58267,0.003424,1.10155,1.675,0.49694
1,edge_1,edge_2,11.92824,45.47749,0.002577,0.91309,1.79644,0.53787
1,edge_2,edge_3,14.15722,44.77766,0.006106,1.10398,2.23488,0.56379
1,edge_3,edge_4,13.62858,44.25681,0.00217,0.74346,2.22504,0.58308
1,edge_4,edge_0,13.36836,46.05607,0.004399,0.77365,1.93312,0.51644
2,access_0,edge_0,14.50917,44.73678,0.006158,1.13634,2.29659,0.5653
2,access_0,edge_1,13.35691,44.50945,0.003514,1.22536,2.14569,0.57372
2,access_0,edge_2,11.81225,46.06391,0.003447,0.5844,1.70714,0.51615
2,access_0,edge_3,14.28471,46.20128,0.002492,0.86741,2.04411,0.51106
2,access_0,edge_4,15.42758,43.16483,0.002552,1.32413,2.69345,0.62352
2,access_1,edge_0,13.03195,45.3313,0.001727,0.57484,1.98242,0.54329
2,access_1,edge_1,13.80849,45.40458,0.00547,1.34119,2.09005,0.54057
2,access_1,edge_2,13.76928,44.40272,0.004412,1.38702,2.22718,0.57768
2,access_1,edge_3,13.19327,44.1078,0.004239,1.17324,2.17436,0.5886
2,access_1,edge_4,12.25097,45.70082,0.005612,1.07963,1.81667,0.5296
2,edge_0,cloud_0,50.19921,62.86145,0.001538,4.78164,8.13528,0.57879
2,edge_1,cloud_0,48.61212,65.94598,0.001465,3.8537,6.78044,0.49814
2,edge_2,cloud_0,49.31258,64.41229,0.004626,3.95707,7.43177,0.53824
2,edge_3,cloud_0,52.20373,64.02154,0.005571,4.57419,8.01681,0.54846
2,edge_4,cloud_0,49.84147,66.08718,0.006574,4.06287,6.90039,0.49445
2,edge_0,edge_1,9.36361,45.84993,0.0,0.73332,1.37403,0.52408
2,edge_1,edge_2,13.47427,44.13019,0.005236,1.15017,2.21754,0.58777
2,edge_2,edge_3,14.91889,45.78725,0.004948,1.66224,2.19892,0.5264
2,edge_3,edge_4,13.83786,43.34335,0.006069,1.20821,2.39029,0.61691
2,edge_4,edge_0,15.5872,45.45838,0.002182,1.47961,2.35058,0.53858
3,access_0,edge_0,17.48321,44.2143,0.003086,1.24684,2.86206,0.58466
3,access_0,edge_1,11.82009,44.32781,0.005732,0.82374,1.92108,0.58045
3,access_0,edge_2,11.93905,45.62893,0.005716,1.37124,1.77932,0.53226
3,access_0,edge_3,12.57689,44.82289,0.007034,0.99864,1.97951,0.56212
3,access_0,edge_4,13.56517,45.87311,0.0021,0.92012,1.98731,0.52322
3,access_1,edge_0,12.78207,44.38765,0.002877,1.25309,2.06949,0.57824
3,access_1,edge_1,12.77664,44.85996,0.001733,0.89989,2.00603,0.56074
3,access_1,edge_2,14.72596,44.68658,0.006028,1.10971,2.33857,0.56716
3,access_1,edge_3,13.99804,44.3025,0.005058,0.80086,2.27873,0.58139
3,access_1,edge_4,13.13396,45.21091,0.002941,0.94289,2.01433,0.54774
3,edge_0,cloud_0,54.18138,61.01881,0.002751,4.61446,9.51147,0.62696
3,edge_1,cloud_0,50.33943,62.22329,0.001008,4.32137,8.39317,0.59547
3,edge_2,cloud_0,51.70855,62.25124,0.007868,4.6379,8.61086,0.59474
3,edge_3,cloud_0,49.84859,64.26539,0.001412,4.34001,7.56616,0.54208
3,edge_4,cloud_0,51.49828,64.63686,0.006303,4.34246,7.67651,0.53237
3,edge_0,edge_1,13.82585,46.95032,0.003233,1.35272,1.87105,0.48332
3,edge_1,edge_2,14.58592,44.92251,0.003775,1.28737,2.28064,0.55843
3,edge_2,edge_3,13.14193,45.26619,0.00631,0.9723,2.00802,0.5457
3,edge_3,edge_4,15.2026,45.6484,0.00512,1.19646,2.26262,0.53154
3,edge_4,edge_0,14.24273,45.03288,0.003216,1.37851,2.21068,0.55434
4,access_0,edge_0,14.21634,43.71838,0.000496,1.41322,2.40038,0.60302
4,access_0,edge_1,12.12613,44.45741,0.003374,1.06402,1.95452,0.57565
4,access_0,edge_2,13.4902,43.43251,0.008285,1.00746,2.31776,0.61361
4,access_0,edge_3,14.47787,42.93828,0.004361,1.53353,2.56166,0.63192
4,access_0,edge_4,14.15931,45.48517,0.00355,1.3189,2.13132,0.53759
4,access_1,edge_0,12.97918,45.71811,0.007075,0.70932,1.92233,0.52896
4,access_1,edge_1,13.13314,43.98168,0.00855,1.15172,2.18162,0.59327
4,access_1,edge_2,14.38604,43.74815,0.005214,1.35005,2.42459,0.60192
4,access_1,edge_3,13.05531,46.24087,0.004175,1.2035,1.86283,0.5096
4,access_1,edge_4,15.10691,43.99854,0.001957,1.10938,2.50686,0.59265
4,edge_0,cloud_0,49.92639,64.05758,0.003874,4.21972,7.65392,0.54751
4,edge_1,cloud_0,49.78987,64.15239,0.003634,4.38154,7.59843,0.54504
4,edge_2,cloud_0,52.44214,63.59233,0.00742,4.51205,8.21819,0.55968
4,edge_3,cloud_0,50.05751,62.98783,0.002836,4.19402,8.06601,0.57548
4,edge_4,cloud_0,52.7115,62.34767,0.004667,4.62154,8.74067,0.59222
4,edge_0,edge_1,13.32018,44.63178,0.00677,0.97367,2.12289,0.56919
4,edge_1,edge_2,13.3038,44.43656,0.002957,1.09449,2.14721,0.57642
4,edge_2,edge_3,14.97407,45.44238,0.002592,1.39285,2.2606,0.53917
4,edge_3,edge_4,13.62595,44.81839,0.005442,1.08974,2.14525,0.56228
4,edge_4,edge_0,13.24368,44.7972,0.001039,0.78116,2.08798,0.56307
5,access_0,edge_0,13.08705,46.55436,0.004688,1.21937,1.82481,0.49799
5,access_0,edge_1,16.55824,45.19397,0.006318,0.97056,2.54242,0.54837
5,access_0,edge_2,14.32607,45.96255,0.000566,1.18149,2.0855,0.51991
5,access_0,edge_3,15.47801,46.00514,0.000991,1.26747,2.24635,0.51833
5,access_0,edge_4,13.57331,45.9594,0.002861,1.14049,1.97636,0.52002
5,access_1,edge_0,14.0955,44.81833,0.00313,1.07562,2.21919,0.56228
5,access_1,edge_1,15.92115,45.3149,0.006639,1.27071,2.42463,0.54389
5,access_1,edge_2,12.88688,46.53165,0.001453,0.96056,1.79993,0.49883
5,access_1,edge_3,13.84083,45.67645,0.001692,1.05524,2.05592,0.5305
5,access_1,edge_4,11.65089,45.09148,0.002098,1.14585,1.80131,0.55217
5,edge_0,cloud_0,50.20368,64.36088,0.00351,4.19285,7.58496,0.53958
5,edge_1,cloud_0,52.75979,61.58395,0.003399,4.8058,9.04364,0.61218
5,edge_2,cloud_0,51.7881,61.65706,0.003063,4.65138,8.84936,0.61027
5,edge_3,cloud_0,50.52841,61.92195,0.001005,4.36688,8.53614,0.60335
5,edge_4,cloud_0,48.75146,65.13136,0.001525,3.71252,7.09059,0.51944
5,edge_0,edge_1,10.16884,46.57048,0.006201,0.60354,1.41621,0.49739
5,edge_1,edge_2,12.41846,44.38994,0.003129,1.32352,2.01033,0.57815
5,edge_2,edge_3,10.04041,44.45651,0.0055,1.00988,1.61843,0.57568
5,edge_3,edge_4,11.43528,45.0401,0.00278,0.99541,1.77407,0.55407
5,edge_4,edge_0,15.24033,43.4094,0.001981,1.33686,2.62211,0.61447
6,access_0,edge_0,15.01358,45.33234,0.002398,1.185,2.2837,0.54325
6,access_0,edge_1,14.26085,45.77261,0.007777,1.18456,2.10409,0.52694
6,access_0,edge_2,11.46469,44.90248,0.000628,0.86776,1.79499,0.55917
6,access_0,edge_3,13.80035,46.88735,0.003159,0.82309,1.87661,0.48565
6,access_0,edge_4,11.92837,44.30491,0.007479,1.4554,1.94151,0.5813
6,access_1,edge_0,13.31006,44.12839,0.002164,1.47034,2.19076,0.58784
6,access_1,edge_1,12.64422,45.99347,0.002988,0.7987,1.83661,0.51876
6,access_1,edge_2,12.93667,44.56042,0.0,1.17674,2.07134,0.57184
6,access_1,edge_3,13.69286,43.8942,0.005531,1.10998,2.28702,0.59651
6,access_1,edge_4,12.82088,45.07936,0.003659,1.29363,1.98381,0.55262
6,edge_0,cloud_0,50.64199,64.11536,0.004264,4.17548,7.7422,0.546
6,edge_1,cloud_0,49.61823,63.66352,0.002405,3.47438,7.7498,0.55782
6,edge_2,cloud_0,49.16866,64.14984,0.003089,3.93737,7.50454,0.5451
6,edge_3,cloud_0,50.45095,64.96589,0.001127,4.05474,7.39888,0.52377
6,edge_4,cloud_0,50.76989,64.20428,0.005415,3.99213,7.7287,0.54368
6,edge_0,edge_1,12.4072,46.34832,0.001228,1.10321,1.75652,0.50562
6,edge_1,edge_2,13.52275,44.9482,0.005062,1.0263,2.1108,0.55747
6,edge_2,edge_3,13.85814,44.40881,0.005502,1.29229,2.24067,0.57745
6,edge_3,edge_4,12.04665,46.17753,0.00209,1.17748,1.72682,0.51194
6,edge_4,edge_0,13.31425,45.0881,0.00638,0.86575,2.05894,0.55229
7,access_0,edge_0,12.94156,44.70389,0.006071,1.12477,2.05287,0.56652
7,access_0,edge_1,13.15221,44.99765,0.004326,1.12525,2.04622,0.55564
7,access_0,edge_2,15.17238,41.69677,0.007346,1.83331,2.87989,0.6779
7,access_0,edge_3,12.44867,43.56898,0.003576,1.14316,2.1212,0.60856
7,access_0,edge_4,13.35445,45.8738,0.004974,0.90239,1.95635,0.52319
7,access_1,edge_0,17.19391,43.31058,0.001355,1.31776,2.97584,0.61813
7,access_1,edge_1,11.84714,48.25482,0.005448,1.06507,1.443,0.43501
7,access_1,edge_2,14.05788,46.27803,0.003868,0.99323,2.00046,0.50822
7,access_1,edge_3,14.12857,42.31825,0.004605,1.31568,2.5907,0.65488
7,access_1,edge_4,12.12399,45.41684,0.006093,1.24697,1.83354,0.54012
7,edge_0,cloud_0,53.70297,60.91879,0.00328,4.84347,9.4668,0.62957
7,edge_1,cloud_0,48.7507,64.07182,0.00111,3.78102,7.46859,0.54714
7,edge_2,cloud_0,52.53206,62.79117,0.003172,4.35276,8.54037,0.58062
7,edge_3,cloud_0,52.58865,63.18268,0.003099,4.63064,8.39885,0.57039
7,edge_4,cloud_0,51.28892,63.39535,0.007067,4.49696,8.11143,0.56483
7,edge_0,edge_1,13.03776,45.44513,0.005849,1.13982,1.96791,0.53907
7,edge_1,edge_2,14.54308,44.29259,0.004973,1.34089,2.36895,0.58176
7,edge_2,edge_3,13.70722,45.21392,0.006449,1.50705,2.10182,0.54763
7,edge_3,edge_4,10.9949,44.55505,0.005643,0.81283,1.76105,0.57204
7,edge_4,edge_0,14.59189,45.59929,0.001361,0.90812,2.17916,0.53336
8,access_0,edge_0,15.07142,44.25308,0.006711,1.57416,2.46118,0.58322
8,access_0,edge_1,15.68511,42.62904,0.00081,1.30595,2.82557,0.64337
8,access_0,edge_2,13.15884,43.98668,0.004419,1.32801,2.18521,0.59309
8,access_0,edge_3,14.23658,43.69097,0.001649,1.23097,2.40784,0.60404
8,access_0,edge_4,12.35242,45.89908,0.000402,1.25683,1.80632,0.52226
8,access_1,edge_0,14.37875,43.92704,0.004055,1.27085,2.39669,0.59529
8,access_1,edge_1,14.21228,43.72184,0.003805,1.22783,2.39918,0.60289
8,access_1,edge_2,13.04515,43.86224,0.00675,0.90314,2.18316,0.59769
8,access_1,edge_3,13.52417,45.10166,0.002204,1.31439,2.0895,0.55179
8,access_1,edge_4,14.43223,44.81348,0.003965,1.25756,2.27293,0.56246
8,edge_0,cloud_0,52.4746,62.0938,0.001288,4.26887,8.79891,0.59885
8,edge_1,cloud_0,48.55321,63.15538,0.006425,4.05179,7.76406,0.5711
8,edge_2,cloud_0,53.8287,63.46724,0.003205,4.37515,8.48477,0.56295
8,edge_3,cloud_0,52.77802,64.48116,0.00046,4.41492,7.92743,0.53644
8,edge_4,cloud_0,50.7674,61.52175,0.003273,4.32186,8.72524,0.61381
8,edge_0,edge_1,12.82397,46.81551,0.000896,0.98871,1.7534,0.48831
8,edge_1,edge_2,13.90262,44.96615,0.004499,1.18815,2.16751,0.55681
8,edge_2,edge_3,10.94557,46.94995,0.007382,0.44121,1.48131,0.48334
8,edge_3,edge_4,13.29646,46.70238,0.006652,1.44499,1.8336,0.4925
8,edge_4,edge_0,13.29294,45.94937,0.007902,1.38659,1.93692,0.52039
9,access_0,edge_0,14.28443,44.63712,0.006275,1.0875,2.27578,0.569
9,access_0,edge_1,12.95346,43.30945,0.005199,1.14614,2.24208,0.61817
9,access_0,edge_2,15.2207,44.08291,0.00337,1.59255,2.51242,0.58952
9,access_0,edge_3,14.78917,43.15881,0.004186,1.33154,2.58292,0.62375
9,access_0,edge_4,10.95304,45.69067,0.002817,1.01533,1.62536,0.52998
9,access_1,edge_0,15.55551,42.82935,0.002043,1.46369,2.76991,0.63595
9,access_1,edge_1,13.2984,45.39254,0.002894,1.27915,2.0145,0.54102
9,access_1,edge_2,12.51264,46.16263,0.004016,0.87044,1.79555,0.5125
9,access_1,edge_3,13.44572,46.29379,0.005243,1.12998,1.91115,0.50764
9,access_1,edge_4,11.92303,44.13869,0.0,1.32278,1.96119,0.58746
9,edge_0,cloud_0,51.44707,63.56743,0.003474,4.0704,8.07163,0.56033
9,edge_1,cloud_0,53.51989,61.02198,0.005265,5.13494,9.3941,0.62688
9,edge_2,cloud_0,50.91411,64.14331,0.003672,4.1051,7.77339,0.54527
9,edge_3,cloud_0,50.72294,63.80769,0.00396,4.15722,7.86882,0.55405
9,edge_4,cloud_0,51.29468,62.84346,0.005472,4.2584,8.31957,0.57926
9,edge_0,edge_1,13.85429,45.04859,0.006333,1.36399,2.14813,0.55376
9,edge_1,edge_2,12.77408,46.4505,0.004194,1.0169,1.79493,0.50183
9,edge_2,edge_3,12.15031,45.56279,0.004805,0.57662,1.81913,0.53471
9,edge_3,edge_4,15.15819,46.2415,0.000241,1.0672,2.16278,0.50957
9,edge_4,edge_0,13.3634,46.08213,0.005229,1.12186,1.92879,0.51548
10,access_0,edge_0,14.66706,43.43592,0.002572,1.1482,2.51944,0.61348
10,access_0,edge_1,13.64176,44.97142,0.001827,1.15865,2.12609,0.55661
10,access_0,edge_2,13.94376,43.60171,0.003649,0.93245,2.37123,0.60734
10,access_0,edge_3,12.84029,44.07971,5e-06,1.19468,2.11992,0.58964
10,access_0,edge_4,11.10462,46.66477,0.008734,0.81208,1.53567,0.4939
10,access_1,edge_0,14.29642,44.70527,0.002708,1.32156,2.26758,0.56647
10,access_1,edge_1,14.31221,44.04938,0.00642,1.78809,2.36744,0.59076
10,access_1,edge_2,14.66082,45.53404,0.004112,0.85083,2.19938,0.53578
10,access_1,edge_3,13.41854,45.88098,0.00255,0.98015,1.96474,0.52293
10,access_1,edge_4,12.91428,44.94653,0.004616,0.93478,2.01605,0.55754
10,edge_0,cloud_0,49.81881,64.70986,0.004597,4.16699,7.39954,0.53046
10,edge_1,cloud_0,50.27921,63.73025,0.002767,4.31164,7.82848,0.55607
10,edge_2,cloud_0,51.23934,62.2335,0.001741,4.52332,8.53938,0.5952
10,edge_3,cloud_0,54.6657,60.88208,0.003131,4.77,9.6512,0.63053
10,edge_4,cloud_0,50.84546,64.89004,0.001082,3.96664,7.48497,0.52575
