time,node_id,node_type,cpu_util,mem_util,queue_len,available_cpu,available_mem,request_load_on_node,node_degree
0,access_0,access,0.28854,0.30323,0.0,0.71146,0.69677,0.36,5
0,access_1,access,0.26008,0.27913,0.0,0.73992,0.72087,0.36,5
0,edge_0,edge,0.58082,0.57728,7.0028,0.41918,0.42272,0.45,5
0,edge_1,edge,0.5551,0.58014,6.37213,0.4449,0.41986,0.53,5
0,edge_2,edge,0.57343,0.58255,4.25309,0.42657,0.41745,0.61,5
0,edge_3,edge,0.50124,0.55085,0.01738,0.49876,0.44915,0.69,5
0,edge_4,edge,0.57915,0.54846,5.46727,0.42085,0.45154,0.77,5
0,cloud_0,cloud,0.43996,0.49206,0.0,0.56004,0.50794,0.6,5
1,access_0,access,0.30608,0.2869,0.0,0.69392,0.7131,0.36,5
1,access_1,access,0.29722,0.26724,0.0,0.70278,0.73276,0.36,5
1,edge_0,edge,0.55962,0.46222,3.35919,0.44038,0.53778,0.45,5
1,edge_1,edge,0.56461,0.47742,5.13664,0.43539,0.52258,0.53,5
1,edge_2,edge,0.53884,0.48635,3.66624,0.46116,0.51365,0.61,5
1,edge_3,edge,0.55182,0.52405,2.57324,0.44818,0.47595,0.69,5
1,edge_4,edge,0.52473,0.4824,0.94117,0.47527,0.5176,0.77,5
1,cloud_0,cloud,0.45271,0.46228,0.0,0.54729,0.53772,0.6,5
2,access_0,access,0.29151,0.28051,0.0,0.70849,0.71949,0.36,5
2,access_1,access,0.28985,0.29069,0.0,0.71015,0.70931,0.36,5
2,edge_0,edge,0.52545,0.54902,2.15089,0.47455,0.45098,0.45,5
2,edge_1,edge,0.56054,0.53831,5.26864,0.43946,0.46169,0.53,5
2,edge_2,edge,0.58507,0.54904,6.39804,0.41493,0.45096,0.61,5
2,edge_3,edge,0.55866,0.55301,3.95351,0.44134,0.44699,0.69,5
2,edge_4,edge,0.57218,0.56071,7.05508,0.42782,0.43929,0.77,5
2,cloud_0,cloud,0.41421,0.48619,0.0,0.58579,0.51381,0.6,5
3,access_0,access,0.27052,0.27783,0.0,0.72948,0.72217,0.36,5
3,access_1,access,0.29278,0.27434,0.0,0.70722,0.72566,0.36,5
3,edge_0,edge,0.54165,0.55212,2.88118,0.45835,0.44788,0.45,5
3,edge_1,edge,0.55601,0.47095,3.15351,0.44399,0.52905,0.53,5
3,edge_2,edge,0.52282,0.51415,1.20755,0.47718,0.48585,0.61,5
3,edge_3,edge,0.58395,0.51866,5.18714,0.41605,0.48134,0.69,5
3,edge_4,edge,0.63902,0.49691,7.98166,0.36098,0.50309,0.77,5
3,cloud_0,cloud,0.42795,0.44262,0.0,0.57205,0.55738,0.6,5
4,access_0,access,0.26291,0.30079,0.0,0.73709,0.69921,0.36,5
4,access_1,access,0.28732,0.2546,0.0,0.71268,0.7454,0.36,5
4,edge_0,edge,0.55531,0.50553,2.64351,0.44469,0.49447,0.45,5
4,edge_1,edge,0.54826,0.48546,2.38129,0.45174,0.51454,0.53,5
4,edge_2,edge,0.60169,0.46496,9.47779,0.39831,0.53504,0.61,5
4,edge_3,edge,0.57107,0.54309,5.22198,0.42893,0.45691,0.69,5
4,edge_4,edge,0.55833,0.4964,3.64621,0.44167,0.5036,0.77,5
