time,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
0,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,65.99676,0.006884,edge_0,access_0-edge_0
0,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,63.90984,0.007724,edge_2,edge_2-cloud_0
0,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,66.04549,0.001622,edge_4,access_0-edge_4
1,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,64.17011,0.007413,edge_0,access_0-edge_0
1,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,64.93028,0.008345,edge_2,access_1-edge_2
1,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,65.88525,0.010611,edge_4,edge_4-cloud_0
2,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,64.70838,0.007686,edge_0,access_0-edge_0
2,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,63.08186,0.009018,edge_2,access_1-edge_2
2,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,65.26905,0.009109,edge_4,access_0-edge_4
3,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,71.66458,0.005828,edge_0,edge_0-cloud_0
3,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,66.43451,0.013848,edge_2,edge_2-cloud_0
3,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,65.06345,0.008389,edge_4,edge_4-cloud_0
4,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,64.14273,0.004368,edge_0,access_0-edge_0
4,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,66.82818,0.012596,edge_2,access_1-edge_2
4,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,66.87081,0.0082,edge_4,edge_4-cloud_0
5,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,63.29073,0.008181,edge_0,edge_0-cloud_0
5,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,64.67498,0.004512,edge_2,edge_2-cloud_0
5,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,62.32477,0.004382,edge_4,access_0-edge_4
6,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,65.65557,0.006652,edge_0,edge_0-cloud_0
6,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,62.10533,0.003089,edge_2,access_1-edge_2
6,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,62.69826,0.012854,edge_4,access_0-edge_4
7,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,66.64453,0.009331,edge_0,edge_0-cloud_0
7,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,66.58994,0.007027,edge_2,edge_2-cloud_0
7,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,64.64337,0.012006,edge_4,edge_4-cloud_0
8,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,67.54602,0.00799,edge_0,access_0-edge_0
8,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,66.87384,0.009934,edge_2,access_1-edge_2
8,2,access_0|edge_4|cloud_0,access_0-edge_4|edge_4-cloud_0,63.11982,0.003673,edge_4,edge_4-cloud_0
9,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,65.7315,0.009728,edge_0,access_0-edge_0
9,1,access_1|edge_2|cloud_0,access_1-edge_2|edge_2-cloud_0,63.42675,0.007674,edge_2,edge_2-cloud_0
