time,service_id,user_id,service_type,request_rate,response_time,base_response_time,dependency_count,current_edge,cloud_node,last_violation
0,0,0,latency,14.2438,90.66319,35.92,1,edge_0,cloud_0,0
0,1,1,reliability,19.1004,111.01517,59.8811,2,edge_2,cloud_0,0
0,2,2,cost,21.4392,127.83005,71.3956,3,edge_4,cloud_0,0
1,0,0,latency,14.5043,91.66577,37.3675,1,edge_0,cloud_0,0
1,1,1,reliability,19.0178,107.81254,56.2939,2,edge_2,cloud_0,0
1,2,2,cost,24.364,127.94002,75.5556,3,edge_4,cloud_0,0
2,0,0,latency,14.85,91.2468,40.2545,1,edge_0,cloud_0,0
2,1,1,reliability,19.9274,112.47459,56.2814,2,edge_2,cloud_0,0
2,2,2,cost,24.6046,138.04172,72.0822,3,edge_4,cloud_0,0
3,0,0,latency,15.8814,96.33156,37.9001,1,edge_0,cloud_0,0
3,1,1,reliability,19.9096,106.01242,56.6381,2,edge_2,cloud_0,0
3,2,2,cost,25.9144,138.01885,73.6909,3,edge_4,cloud_0,0
4,0,0,latency,15.1973,84.60858,37.2957,1,edge_0,cloud_0,0
4,1,1,reliability,20.9608,123.16348,58.7309,2,edge_2,cloud_0,0
4,2,2,cost,25.8602,137.11101,74.8616,3,edge_4,cloud_0,0
5,0,0,latency,17.5883,95.36976,37.1872,1,edge_0,cloud_0,0
5,1,1,reliability,20.5679,115.15873,56.3725,2,edge_2,cloud_0,0
5,2,2,cost,26.5731,137.1438,76.2579,3,edge_4,cloud_0,0
6,0,0,latency,16.0867,94.11717,36.3197,1,edge_0,cloud_0,0
6,1,1,reliability,20.7183,124.49434,59.3012,2,edge_2,cloud_0,0
6,2,2,cost,27.1726,139.27358,75.0863,3,edge_4,cloud_0,0
7,0,0,latency,15.9111,98.56276,38.4643,1,edge_0,cloud_0,0
7,1,1,reliability,21.8223,129.41869,58.4374,2,edge_2,cloud_0,0
7,2,2,cost,27.7115,139.09348,74.4472,3,edge_4,cloud_0,0
8,0,0,latency,17.2105,98.47963,38.1352,1,edge_0,cloud_0,0
8,1,1,reliability,22.256,115.59782,59.2626,2,edge_2,cloud_0,0
8,2,2,cost,26.2164,137.24128,73.3607,3,edge_4,cloud_0,0
9,0,0,latency,16.4693,94.91598,36.7222,1,edge_0,cloud_0,0
9,1,1,reliability,22.0401,126.65856,60.9899,2,edge_2,cloud_0,0
9,2,2,cost,26.9822,131.30366,75.9366,3,edge_4,cloud_0,0
10,0,0,latency,15.6288,94.29489,37.3302,1,edge_0,cloud_0,0
10,1,1,reliability,22.5615,123.20782,59.1724,2,edge_2,cloud_0,0
10,2,2,cost,28.4566,140.59141,75.5867,3,edge_4,cloud_0,0
11,0,0,latency,16.7747,93.54629,37.0753,1,edge_0,cloud_0,0
11,1,1,reliability,23.2216,117.35638,57.6174,2,edge_2,cloud_0,0
11,2,2,cost,26.9962,137.20521,71.7334,3,edge_4,cloud_0,0
12,0,0,latency,16.3444,94.96959,38.9943,1,edge_0,cloud_0,0
12,1,1,reliability,22.6839,116.78399,59.381,2,edge_2,cloud_0,0
12,2,2,cost,27.7182,144.35388,74.3171,3,edge_4,cloud_0,0
13,0,0,latency,17.5541,96.99523,37.3813,1,edge_0,cloud_0,0
13,1,1,reliability,22.9006,113.11286,56.6761,2,edge_2,cloud_0,0
13,2,2,cost,27.7263,137.97045,73.2365,3,edge_4,cloud_0,0
14,0,0,latency,16.0184,91.20821,38.9739,1,edge_0,cloud_0,0
14,1,1,reliability,22.0558,112.61948,58.025,2,edge_2,cloud_0,0
14,2,2,cost,28.2722,139.75529,74.8931,3,edge_4,cloud_0,0
15,0,0,latency,17.3779,91.85523,37.803,1,edge_0,cloud_0,0
15,1,1,reliability,21.9216,112.1951,57.8406,2,edge_2,cloud_0,0
15,2,2,cost,26.325,126.28932,71.1058,3,edge_4,cloud_0,0
16,0,0,latency,15.6092,82.21444,36.0055,1,edge_0,cloud_0,0
16,1,1,reliability,22.3445,115.68664,56.189,2,edge_2,cloud_0,0
16,2,2,cost,27.0796,144.32928,76.5985,3,edge_4,cloud_0,0
17,0,0,latency,16.1585,90.02901,39.475,1,edge_0,cloud_0,0
17,1,1,reliability,20.9821,115.08518,57.5891,2,edge_2,cloud_0,0
17,2,2,cost,26.2544,127.52907,73.3219,3,edge_4,cloud_0,0
18,0,0,latency,16.8501,80.8929,34.5454,1,edge_0,cloud_0,0
18,1,1,reliability,21.7255,112.8434,58.4755,2,edge_2,cloud_0,0
18,2,2,cost,26.1026,128.055,71.1079,3,edge_4,cloud_0,0
19,0,0,latency,15.9327,82.80137,36.941,1,edge_0,cloud_0,0
19,1,1,reliability,21.1638,109.54114,58.0437,2,edge_2,cloud_0,0
19,2,2,cost,27.3618,131.78943,73.5213,3,edge_4,cloud_0,0
20,0,0,latency,14.7212,85.74264,38.3586,1,edge_0,cloud_0,0
20,1,1,reliability,20.711,111.39518,60.7184,2,edge_2,cloud_0,0
20,2,2,cost,26.1981,121.83735,74.7137,3,edge_4,cloud_0,0
21,0,0,latency,16.3493,78.3036,35.6225,1,edge_0,cloud_0,0
21,1,1,reliability,19.5457,106.72563,56.1468,2,edge_2,cloud_0,0
