time,node_group,cpu_scale,mem_scale,arrival_scale
0,edge,0.55,0.5559,1.0
1,edge,0.5546,0.5074,1.0
2,edge,0.5634,0.544,1.0
3,edge,0.5562,0.5066,1.0
4,edge,0.5781,0.5196,1.0
5,edge,0.5831,0.5579,1.0
6,edge,0.6541,0.6361,1.0
7,edge,0.6195,0.597,1.0
8,edge,0.5937,0.5617,1.0
9,edge,0.5863,0.5755,1.0
10,edge,0.6335,0.5938,1.0
11,edge,0.5932,0.5795,1.0
12,edge,0.6269,0.6216,1.0
13,edge,0.6389,0.6169,1.0
14,edge,0.5952,0.591,1.0
15,edge,0.548,0.5445,1.0
16,edge,0.5583,0.5546,1.0
17,edge,0.5416,0.5256,1.0
18,edge,0.5141,0.5236,1.0
19,edge,0.5329,0.5299,1.0
20,edge,0.4802,0.4743,1.0
21,edge,0.5157,0.5322,1.0
22,edge,0.4913,0.4753,1.0
23,edge,0.4742,0.4881,1.0
24,edge,0.424,0.4267,1.0
25,edge,0.4348,0.4589,1.0
26,edge,0.4095,0.3887,1.0
27,edge,0.3849,0.4127,1.0
28,edge,0.373,0.3786,1.0
29,edge,0.3492,0.3587,1.0
30,edge,0.3475,0.3724,1.0
31,edge,0.3093,0.3084,1.0
32,edge,0.2986,0.3311,1.0
33,edge,0.3291,0.3347,1.0
34,edge,0.3536,0.3903,1.0
35,edge,0.3409,0.3634,1.0
36,edge,0.2784,0.3242,1.0
37,edge,0.3402,0.3519,1.0
38,edge,0.2978,0.3413,1.0
39,edge,0.3276,0.3816,1.0
40,edge,0.3073,0.3275,1.0
41,edge,0.336,0.3525,1.0
42,edge,0.3437,0.357,1.0
43,edge,0.3436,0.3107,1.0
44,edge,0.3739,0.3942,1.0
45,edge,0.6126,0.5652,1.55
46,edge,0.6374,0.641,1.55
47,edge,0.6669,0.6062,1.55
48,edge,0.6397,0.5932,1.55
49,edge,0.6849,0.6427,1.55
50,edge,0.6812,0.6642,1.55
51,edge,0.7198,0.6697,1.55
52,edge,0.7472,0.6739,1.55
53,edge,0.7562,0.6807,1.55
54,edge,0.7871,0.7352,1.55
55,edge,0.7474,0.6896,1.55
56,edge,0.7501,0.6898,1.55
57,edge,0.7902,0.7216,1.55
58,edge,0.8096,0.744,1.55
59,edge,0.7839,0.7291,1.55
60,edge,0.7889,0.7139,1.55
61,edge,0.7701,0.7193,1.55
62,edge,0.7698,0.7461,1.55
63,edge,0.8171,0.7653,1.55
64,edge,0.8571,0.7765,1.55
65,edge,0.8257,0.7309,1.55
66,edge,0.8125,0.7775,1.55
67,edge,0.7989,0.7299,1.55
68,edge,0.8194,0.7244,1.55
69,edge,0.7865,0.7241,1.55
70,edge,0.6041,0.578,1.0
71,edge,0.5989,0.5669,1.0
72,edge,0.5602,0.5379,1.0
73,edge,0.5547,0.5272,1.0
74,edge,0.4825,0.4817,1.0
75,edge,0.4825,0.4654,1.0
76,edge,0.5002,0.4679,1.0
77,edge,0.434,0.4252,1.0
78,edge,0.4825,0.4597,1.0
79,edge,0.4949,0.4851,1.0
80,edge,0.3898,0.3824,1.0
81,edge,0.4009,0.4088,1.0
82,edge,0.3855,0.3624,1.0
83,edge,0.4155,0.4163,1.0
84,edge,0.354,0.4063,1.0
85,edge,0.3694,0.3697,1.0
86,edge,0.3682,0.3984,1.0
87,edge,0.3359,0.3552,1.0
88,edge,0.3494,0.3541,1.0
89,edge,0.3583,0.3843,1.0
90,edge,0.3077,0.3491,1.0
91,edge,0.3369,0.374,1.0
92,edge,0.2462,0.3009,1.0
93,edge,0.356,0.3735,1.0
94,edge,0.3863,0.3717,1.0
95,edge,0.2844,0.2961,1.0
96,edge,0.3304,0.3684,1.0
97,edge,0.3889,0.3848,1.0
98,edge,0.4101,0.4063,1.0
99,edge,0.4015,0.4408,1.0
100,edge,0.3695,0.3658,1.0
101,edge,0.3791,0.3863,1.0
102,edge,0.395,0.4078,1.0
103,edge,0.3902,0.4411,1.0
104,edge,0.4156,0.4084,1.0
105,edge,0.4616,0.4633,1.0
106,edge,0.4996,0.4602,1.0
107,edge,0.5234,0.5135,1.0
108,edge,0.5491,0.5115,1.0
109,edge,0.5173,0.5126,1.0
110,edge,0.6162,0.593,1.0
111,edge,0.604,0.575,1.0
112,edge,0.6044,0.5755,1.0
113,edge,0.5504,0.5227,1.0
114,edge,0.579,0.5397,1.0
115,edge,0.98,0.8723,2.35
116,edge,0.9721,0.8816,2.35
117,edge,0.98,0.8727,2.35
118,edge,0.98,0.8786,2.35
119,edge,0.98,0.9081,2.35
120,edge,0.98,0.8782,2.35
121,edge,0.98,0.8661,2.35
122,edge,0.98,0.8632,2.35
123,edge,0.9673,0.8686,2.35
124,edge,0.9444,0.8576,2.35
125,edge,0.9639,0.8542,2.35
126,edge,0.9733,0.8838,2.35
127,edge,0.9483,0.8614,2.35
128,edge,0.8906,0.8349,2.35
129,edge,0.8603,0.8041,2.35
