time,service_id,service_type,request_rate,base_response_time,dependency_count
0,0,latency,14.2438,35.92,1
0,1,reliability,19.1004,59.8811,2
0,2,cost,21.4392,71.3956,3
1,0,latency,14.5043,37.3675,1
1,1,reliability,19.0178,56.2939,2
1,2,cost,24.364,75.5556,3
2,0,latency,14.85,40.2545,1
2,1,reliability,19.9274,56.2814,2
2,2,cost,24.6046,72.0822,3
3,0,latency,15.8814,37.9001,1
3,1,reliability,19.9096,56.6381,2
3,2,cost,25.9144,73.6909,3
4,0,latency,15.1973,37.2957,1
4,1,reliability,20.9608,58.7309,2
4,2,cost,25.8602,74.8616,3
5,0,latency,17.5883,37.1872,1
5,1,reliability,20.5679,56.3725,2
5,2,cost,26.5731,76.2579,3
6,0,latency,16.0867,36.3197,1
6,1,reliability,20.7183,59.3012,2
6,2,cost,27.1726,75.0863,3
7,0,latency,15.9111,38.4643,1
7,1,reliability,21.8223,58.4374,2
7,2,cost,27.7115,74.4472,3
8,0,latency,17.2105,38.1352,1
8,1,reliability,22.256,59.2626,2
8,2,cost,26.2164,73.3607,3
9,0,latency,16.4693,36.7222,1
9,1,reliability,22.0401,60.9899,2
9,2,cost,26.9822,75.9366,3
10,0,latency,15.6288,37.3302,1
10,1,reliability,22.5615,59.1724,2
10,2,cost,28.4566,75.5867,3
11,0,latency,16.7747,37.0753,1
11,1,reliability,23.2216,57.6174,2
11,2,cost,26.9962,71.7334,3
12,0,latency,16.3444,38.9943,1
12,1,reliability,22.6839,59.381,2
12,2,cost,27.7182,74.3171,3
13,0,latency,17.5541,37.3813,1
13,1,reliability,22.9006,56.6761,2
13,2,cost,27.7263,73.2365,3
14,0,latency,16.0184,38.9739,1
14,1,reliability,22.0558,58.025,2
14,2,cost,28.2722,74.8931,3
15,0,latency,17.3779,37.803,1
15,1,reliability,21.9216,57.8406,2
15,2,cost,26.325,71.1058,3
16,0,latency,15.6092,36.0055,1
16,1,reliability,22.3445,56.189,2
16,2,cost,27.0796,76.5985,3
17,0,latency,16.1585,39.475,1
17,1,reliability,20.9821,57.5891,2
17,2,cost,26.2544,73.3219,3
18,0,latency,16.8501,34.5454,1
18,1,reliability,21.7255,58.4755,2
18,2,cost,26.1026,71.1079,3
19,0,latency,15.9327,36.941,1
19,1,reliability,21.1638,58.0437,2
19,2,cost,27.3618,73.5213,3
20,0,latency,14.7212,38.3586,1
