split,field,value,value_name,count,ratio
train,risk_node,1,1,19523,0.7310068521361441
train,risk_node,2,2,6087,0.227917774366271
train,risk_node,3,3,886,0.03317482308009136
train,risk_node,5,5,211,0.00790055041749354
train,risk_link,1,1,16561,0.6200995993559741
train,risk_link,2,2,10039,0.3758939603849178
train,risk_link,3,3,53,0.0019844984461002734
train,risk_link,6,6,54,0.0020219418130078257
train,risk_metric,0,delay,16158,0.6050099224922305
train,risk_metric,1,loss,5966,0.22338712697045718
train,risk_metric,2,cpu,2584,0.0967536600891152
train,risk_metric,4,bandwidth,1999,0.0748492904481971
val,risk_node,1,1,7036,0.6325631574215589
val,risk_node,2,2,4048,0.3639305942641374
val,risk_node,3,3,39,0.003506248314303695
val,risk_link,1,1,6967,0.6263597950193294
val,risk_link,2,2,4156,0.3736402049806707
val,risk_metric,0,delay,3902,0.3508046390362312
val,risk_metric,1,loss,5020,0.45131709071293713
val,risk_metric,2,cpu,45,0.004045671131888879
val,risk_metric,4,bandwidth,2156,0.19383259911894274
test,risk_node,1,1,10722,0.768547057558598
test,risk_node,2,2,2733,0.19589993548849544
test,risk_node,3,3,496,0.0355530069529066
test,risk_link,1,1,10735,0.7694788904021217
test,risk_link,2,2,2733,0.19589993548849544
test,risk_link,3,3,483,0.03462117410938284
test,risk_metric,0,delay,5171,0.3706544333739517
test,risk_metric,1,loss,4214,0.3020572002007025
test,risk_metric,2,cpu,436,0.031252239982796935
test,risk_metric,4,bandwidth,4130,0.2960361264425489
