split,feature,mean,std,min,max,nan_count,inf_count,num_values
train,node_x,0.40377418741524623,0.308940171113044,0.0,1.0,0,0,36249600
train,link_x,0.1555475792004757,0.26540542087984575,0.0,1.0,0,0,54374400
train,service_x,0.3371694630795148,0.2904515341502863,0.0,1.0,0,0,2832000
train,sla_x,0.442758333645761,0.27676055201262273,0.10000000149011612,0.9900000095367432,0,0,236000
val,node_x,0.4002365301708792,0.3034767221786205,0.0,1.0,0,0,12103680
val,link_x,0.16423660683433738,0.2743233160915554,0.0,1.0,0,0,18155520
val,service_x,0.3335177266536763,0.28990173462460767,0.0,1.0,0,0,945600
val,sla_x,0.442758333645761,0.27676055201262273,0.10000000149011612,0.9900000095367432,0,0,78800
test,node_x,0.42500102819369295,0.3289636242980345,0.0,1.0,0,0,12103680
test,link_x,0.17857190668535072,0.29782103584026604,0.0,1.0,0,0,18155520
test,service_x,0.37980039162358015,0.2814206947881766,0.0,1.0,0,0,945600
test,sla_x,0.442758333645761,0.27676055201262273,0.10000000149011612,0.9900000095367432,0,0,78800
