split,field,value,value_name,count,ratio
train,risk_node,1,1,91,0.35826771653543305
train,risk_node,2,2,82,0.3228346456692913
train,risk_node,3,3,8,0.031496062992125984
train,risk_node,4,4,37,0.14566929133858267
train,risk_node,5,5,10,0.03937007874015748
train,risk_node,6,6,26,0.10236220472440945
train,risk_link,0,0,57,0.22440944881889763
train,risk_link,1,1,86,0.33858267716535434
train,risk_link,2,2,50,0.1968503937007874
train,risk_link,3,3,29,0.1141732283464567
train,risk_link,5,5,4,0.015748031496062992
train,risk_link,6,6,4,0.015748031496062992
train,risk_link,7,7,3,0.011811023622047244
train,risk_link,8,8,1,0.003937007874015748
train,risk_link,9,9,20,0.07874015748031496
train,risk_metric,0,delay,58,0.2283464566929134
train,risk_metric,1,loss,64,0.25196850393700787
train,risk_metric,2,cpu,18,0.07086614173228346
train,risk_metric,3,queue,65,0.2559055118110236
train,risk_metric,4,bandwidth,49,0.19291338582677164
val,risk_node,1,1,30,0.375
val,risk_node,2,2,31,0.3875
val,risk_node,3,3,17,0.2125
val,risk_node,4,4,2,0.025
val,risk_link,0,0,29,0.3625
val,risk_link,1,1,16,0.2
val,risk_link,2,2,24,0.3
val,risk_link,3,3,1,0.0125
val,risk_link,4,4,10,0.125
val,risk_metric,0,delay,7,0.0875
val,risk_metric,1,loss,26,0.325
val,risk_metric,2,cpu,20,0.25
val,risk_metric,3,queue,9,0.1125
val,risk_metric,4,bandwidth,18,0.225
test,risk_node,1,1,40,0.47058823529411764
test,risk_node,2,2,32,0.3764705882352941
test,risk_node,3,3,7,0.08235294117647059
test,risk_node,4,4,3,0.03529411764705882
test,risk_node,6,6,3,0.03529411764705882
test,risk_link,0,0,28,0.32941176470588235
test,risk_link,1,1,14,0.16470588235294117
test,risk_link,2,2,19,0.2235294117647059
test,risk_link,3,3,12,0.1411764705882353
test,risk_link,4,4,8,0.09411764705882353
test,risk_link,5,5,2,0.023529411764705882
test,risk_link,7,7,2,0.023529411764705882
test,risk_metric,0,delay,20,0.23529411764705882
test,risk_metric,1,loss,20,0.23529411764705882
test,risk_metric,2,cpu,2,0.023529411764705882
test,risk_metric,3,queue,31,0.36470588235294116
test,risk_metric,4,bandwidth,12,0.1411764705882353
