time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,service_id,path_nodes,path_links,path_delay,path_loss,bottleneck_node,bottleneck_link
0,normal,-1,0.0,,,-1,-1,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,47.59548,0.002341,cloud_0,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,1,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,60.48144,0.003491,cloud_0,edge_4-cloud_0
0,normal,-1,0.0,,,-1,-1,2,access_0|edge_1|edge_2|edge_3|edge_4|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-edge_3|edge_3-edge_4|edge_4-cloud_0,81.53881,0.005076,edge_2,edge_2-edge_3
0,normal,-1,0.0,,,-1,-1,3,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,56.75829,0.005818,cloud_0,edge_4-cloud_0
0,normal,-1,0.0,,,-1,-1,4,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,47.59548,0.002341,cloud_0,access_0-edge_0
0,normal,-1,0.0,,,-1,-1,5,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,60.48144,0.003491,cloud_0,edge_4-cloud_0
0,normal,-1,0.0,,,-1,-1,6,access_1|edge_3|edge_2|cloud_0,access_1-edge_3|edge_2-edge_3|edge_2-cloud_0,58.78125,0.002116,edge_2,edge_2-edge_3
0,normal,-1,0.0,,,-1,-1,7,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,56.75829,0.005818,cloud_0,edge_4-cloud_0
1,normal,-1,0.0,,,-1,-1,0,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,47.40897,0.003013,cloud_0,edge_0-cloud_0
1,normal,-1,0.0,,,-1,-1,1,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,57.66388,0.006253,cloud_0,edge_4-cloud_0
1,normal,-1,0.0,,,-1,-1,2,access_0|edge_1|edge_2|edge_3|edge_4|cloud_0,access_0-edge_1|edge_1-edge_2|edge_2-edge_3|edge_3-edge_4|edge_4-cloud_0,80.96335,0.009538,edge_2,edge_4-cloud_0
1,normal,-1,0.0,,,-1,-1,3,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,58.25264,0.00545,cloud_0,edge_4-cloud_0
1,normal,-1,0.0,,,-1,-1,4,access_0|edge_0|cloud_0,access_0-edge_0|edge_0-cloud_0,47.40897,0.003013,cloud_0,edge_0-cloud_0
1,normal,-1,0.0,,,-1,-1,5,access_1|edge_3|edge_4|cloud_0,access_1-edge_3|edge_3-edge_4|edge_4-cloud_0,57.66388,0.006253,cloud_0,edge_4-cloud_0
1,normal,-1,0.0,,,-1,-1,6,access_1|edge_3|edge_2|cloud_0,access_1-edge_3|edge_2-edge_3|edge_2-cloud_0,57.72982,0.008623,edge_2,edge_2-cloud_0
1,normal,-1,0.0,,,-1,-1,7,access_0|edge_0|edge_4|cloud_0,access_0-edge_0|edge_4-edge_0|edge_4-cloud_0,58.25264,0.00545,cloud_0,edge_4-cloud_0
