split,scenario,label_id,label,count,ratio_within_scenario
train,burst,0,normal,12,0.15
train,burst,1,risky,68,0.85
train,burst,2,violated,0,0.0
train,link_congestion,0,normal,35,0.4117647058823529
train,link_congestion,1,risky,34,0.4
train,link_congestion,2,violated,16,0.18823529411764706
train,mixed,0,normal,48,0.6
train,mixed,1,risky,14,0.175
train,mixed,2,violated,18,0.225
train,node_overload,0,normal,28,0.3076923076923077
train,node_overload,1,risky,42,0.46153846153846156
train,node_overload,2,violated,21,0.23076923076923078
train,normal,0,normal,119,0.74375
train,normal,1,risky,24,0.15
train,normal,2,violated,17,0.10625
val,burst,0,normal,18,0.5806451612903226
val,burst,1,risky,0,0.0
val,burst,2,violated,13,0.41935483870967744
val,link_congestion,0,normal,9,0.32142857142857145
val,link_congestion,1,risky,8,0.2857142857142857
val,link_congestion,2,violated,11,0.39285714285714285
val,mixed,0,normal,16,0.6666666666666666
val,mixed,1,risky,5,0.20833333333333334
val,mixed,2,violated,3,0.125
val,node_overload,0,normal,9,0.3
val,node_overload,1,risky,12,0.4
val,node_overload,2,violated,9,0.3
val,normal,0,normal,36,0.6545454545454545
val,normal,1,risky,17,0.3090909090909091
val,normal,2,violated,2,0.03636363636363636
test,burst,0,normal,8,0.2857142857142857
test,burst,1,risky,11,0.39285714285714285
test,burst,2,violated,9,0.32142857142857145
test,link_congestion,0,normal,13,0.48148148148148145
test,link_congestion,1,risky,10,0.37037037037037035
test,link_congestion,2,violated,4,0.14814814814814814
test,mixed,0,normal,4,0.19047619047619047
test,mixed,1,risky,9,0.42857142857142855
test,mixed,2,violated,8,0.38095238095238093
test,node_overload,0,normal,17,0.5
test,node_overload,1,risky,16,0.47058823529411764
test,node_overload,2,violated,1,0.029411764705882353
test,normal,0,normal,41,0.7068965517241379
test,normal,1,risky,12,0.20689655172413793
test,normal,2,violated,5,0.08620689655172414
