check,status,detail,value,threshold
high_label_shift,pass,test violated ratio - train violated ratio = 0.0156,0.015552995391705071,0.2
label_ratio_spread_normal,pass,normal ratio spread across train/val/test = 0.0359,0.03590629800307221,0.2
label_ratio_spread_risky,pass,risky ratio spread across train/val/test = 0.1169,0.11693548387096775,0.2
label_ratio_spread_violated,pass,violated ratio spread across train/val/test = 0.0810,0.08102918586789554,0.2
scenario_coverage_train,pass,all scenarios present,0,0
scenario_block_bias_train,pass,top scenario normal ratio = 0.3226,0.3225806451612903,0.45
scenario_coverage_val,pass,all scenarios present,0,0
scenario_block_bias_val,pass,top scenario normal ratio = 0.3274,0.3273809523809524,0.45
scenario_coverage_test,pass,all scenarios present,0,0
scenario_block_bias_test,pass,top scenario normal ratio = 0.3452,0.34523809523809523,0.45
node_attribution_concentration,pass,"top risk_node=1, ratio=0.3842",0.38424821002386633,0.5
link_attribution_concentration,pass,"top risk_link=1, ratio=0.2768",0.27684964200477324,0.5
metric_coverage_delay,pass,delay ratio = 0.2029,0.20286396181384247,>0
metric_coverage_loss,pass,loss ratio = 0.2625,0.26252983293556087,>0
metric_coverage_cpu,pass,cpu ratio = 0.0955,0.0954653937947494,>0
metric_coverage_queue,pass,queue ratio = 0.2506,0.25059665871121717,>0
metric_coverage_bandwidth,pass,bandwidth ratio = 0.1885,0.18854415274463007,>0
metric_coverage_train_delay,pass,train delay ratio = 0.2283,0.2283464566929134,>0
metric_coverage_train_loss,pass,train loss ratio = 0.2520,0.25196850393700787,>0
metric_coverage_train_cpu,pass,train cpu ratio = 0.0709,0.07086614173228346,>0
metric_coverage_train_queue,pass,train queue ratio = 0.2559,0.2559055118110236,>0
metric_coverage_train_bandwidth,pass,train bandwidth ratio = 0.1929,0.19291338582677164,>0
queue_metric_min_ratio_train,pass,train queue ratio = 0.2559,0.2559055118110236,0.05
metric_coverage_val_delay,pass,val delay ratio = 0.0875,0.0875,>0
metric_coverage_val_loss,pass,val loss ratio = 0.3250,0.325,>0
metric_coverage_val_cpu,pass,val cpu ratio = 0.2500,0.25,>0
metric_coverage_val_queue,pass,val queue ratio = 0.1125,0.1125,>0
metric_coverage_val_bandwidth,pass,val bandwidth ratio = 0.2250,0.225,>0
queue_metric_min_ratio_val,pass,val queue ratio = 0.1125,0.1125,0.05
metric_coverage_test_delay,pass,test delay ratio = 0.2353,0.23529411764705882,>0
metric_coverage_test_loss,pass,test loss ratio = 0.2353,0.23529411764705882,>0
metric_coverage_test_cpu,pass,test cpu ratio = 0.0235,0.023529411764705882,>0
metric_coverage_test_queue,pass,test queue ratio = 0.3647,0.36470588235294116,>0
metric_coverage_test_bandwidth,pass,test bandwidth ratio = 0.1412,0.1411764705882353,>0
queue_metric_min_ratio_test,pass,test queue ratio = 0.3647,0.36470588235294116,0.05
