time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,node_id,node_type,cpu_util,mem_util,queue_len,available_cpu,available_mem,request_load_on_node,node_degree
0,normal,-1,0.0,,,-1,-1,access_0,access,0.23101,0.24961,0.0,0.76899,0.75039,0.3024,2
0,normal,-1,0.0,,,-1,-1,access_1,access,0.22385,0.24463,0.0,0.77615,0.75537,0.3024,2
0,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35864,0.46452,0.0,0.64136,0.53548,0.6805,4
0,normal,-1,0.0,,,-1,-1,edge_1,edge,0.39312,0.47445,0.0,0.60688,0.52555,0.6805,3
0,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40158,0.48081,0.0,0.59842,0.51919,0.6805,4
0,normal,-1,0.0,,,-1,-1,edge_3,edge,0.35198,0.44109,0.0,0.64802,0.55891,0.6805,3
0,normal,-1,0.0,,,-1,-1,edge_4,edge,0.38176,0.4358,0.0,0.61824,0.5642,0.6805,3
0,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.39145,0.45967,0.0,0.60855,0.54033,0.538,3
1,normal,-1,0.0,,,-1,-1,access_0,access,0.22208,0.26031,0.0,0.77792,0.73969,0.30629,2
1,normal,-1,0.0,,,-1,-1,access_1,access,0.21462,0.26708,0.0,0.78538,0.73292,0.30629,2
1,normal,-1,0.0,,,-1,-1,edge_0,edge,0.36202,0.45551,0.0,0.63798,0.54449,0.69143,4
1,normal,-1,0.0,,,-1,-1,edge_1,edge,0.3972,0.47812,0.0,0.6028,0.52188,0.69143,3
1,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40595,0.45308,0.0,0.59405,0.54692,0.69143,4
1,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34913,0.42586,0.0,0.65087,0.57414,0.69143,3
1,normal,-1,0.0,,,-1,-1,edge_4,edge,0.38093,0.47231,0.0,0.61907,0.52769,0.69143,3
1,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.3961,0.46513,0.0,0.6039,0.53487,0.54286,3
2,normal,-1,0.0,,,-1,-1,access_0,access,0.20952,0.25952,0.0,0.79048,0.74048,0.30988,2
2,normal,-1,0.0,,,-1,-1,access_1,access,0.22713,0.25679,0.0,0.77287,0.74321,0.30988,2
2,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35785,0.4717,0.0,0.64215,0.5283,0.70154,4
2,normal,-1,0.0,,,-1,-1,edge_1,edge,0.40816,0.47889,0.0,0.59184,0.52111,0.70154,3
2,normal,-1,0.0,,,-1,-1,edge_2,edge,0.41385,0.48286,0.0,0.58615,0.51714,0.70154,4
2,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34352,0.45826,0.0,0.65648,0.54174,0.70154,3
2,normal,-1,0.0,,,-1,-1,edge_4,edge,0.40113,0.48229,0.0,0.59887,0.51771,0.70154,3
2,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.38151,0.46456,0.0,0.61849,0.53544,0.54735,3
3,normal,-1,0.0,,,-1,-1,access_0,access,0.22164,0.24969,0.0,0.77836,0.75031,0.31292,2
3,normal,-1,0.0,,,-1,-1,access_1,access,0.23401,0.25824,0.0,0.76599,0.74176,0.31292,2
3,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35016,0.43746,0.0,0.64984,0.56254,0.7101,4
3,normal,-1,0.0,,,-1,-1,edge_1,edge,0.36802,0.45775,0.0,0.63198,0.54225,0.7101,3
3,normal,-1,0.0,,,-1,-1,edge_2,edge,0.40255,0.46616,0.0,0.59745,0.53384,0.7101,4
3,normal,-1,0.0,,,-1,-1,edge_3,edge,0.34973,0.43722,0.0,0.65027,0.56278,0.7101,3
3,normal,-1,0.0,,,-1,-1,edge_4,edge,0.36227,0.44793,0.0,0.63773,0.55207,0.7101,3
3,normal,-1,0.0,,,-1,-1,cloud_0,cloud,0.37739,0.47586,0.0,0.62261,0.52414,0.55116,3
4,normal,-1,0.0,,,-1,-1,access_0,access,0.22456,0.27511,0.0,0.77544,0.72489,0.31519,2
4,normal,-1,0.0,,,-1,-1,access_1,access,0.23033,0.25496,0.0,0.76967,0.74504,0.31519,2
4,normal,-1,0.0,,,-1,-1,edge_0,edge,0.35708,0.44927,0.0,0.64292,0.55073,0.71646,4
