time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,service_id,user_id,service_type,request_rate,response_time,base_response_time,dependency_count,current_edge,cloud_node,last_violation
0,normal,-1,0.0,,,-1,-1,0,0,latency,6.6424,54.71609,34.0,1,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,1,1,reliability,7.76052,78.04215,55.5,2,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,2,2,cost,9.5507,105.95424,73.0,3,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,3,3,latency,11.63757,64.03277,38.5,4,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,4,4,reliability,13.24154,83.53669,60.0,5,edge_0,cloud_0,0
0,normal,-1,0.0,,,-1,-1,5,5,cost,15.01355,96.33888,70.0,1,edge_4,cloud_0,0
0,normal,-1,0.0,,,-1,-1,6,6,latency,17.03247,63.26599,35.5,2,edge_3,cloud_0,0
0,normal,-1,0.0,,,-1,-1,7,7,reliability,18.49559,84.15331,57.0,3,edge_4,cloud_0,0
1,normal,-1,0.0,,,-1,-1,0,0,latency,6.48653,55.03071,34.0,1,edge_0,cloud_0,0
1,normal,-1,0.0,,,-1,-1,1,1,reliability,7.74863,80.50168,55.5,2,edge_4,cloud_0,0
1,normal,-1,0.0,,,-1,-1,2,2,cost,10.11438,104.8259,73.0,3,edge_3,cloud_0,0
1,normal,-1,0.0,,,-1,-1,3,3,latency,12.14913,65.14712,38.5,4,edge_4,cloud_0,0
1,normal,-1,0.0,,,-1,-1,4,4,reliability,13.90449,84.42875,60.0,5,edge_0,cloud_0,0
1,normal,-1,0.0,,,-1,-1,5,5,cost,15.74746,97.70054,70.0,1,edge_4,cloud_0,0
1,normal,-1,0.0,,,-1,-1,6,6,latency,17.17545,65.64904,35.5,2,edge_3,cloud_0,0
1,normal,-1,0.0,,,-1,-1,7,7,reliability,19.38668,86.71314,57.0,3,edge_4,cloud_0,0
2,normal,-1,0.0,,,-1,-1,0,0,latency,6.80919,53.31362,34.0,1,edge_0,cloud_0,0
2,normal,-1,0.0,,,-1,-1,1,1,reliability,8.19848,79.70687,55.5,2,edge_4,cloud_0,0
2,normal,-1,0.0,,,-1,-1,2,2,cost,10.71764,105.75796,73.0,3,edge_3,cloud_0,0
2,normal,-1,0.0,,,-1,-1,3,3,latency,11.99817,64.27587,38.5,4,edge_4,cloud_0,0
2,normal,-1,0.0,,,-1,-1,4,4,reliability,14.5427,84.79527,60.0,5,edge_0,cloud_0,0
2,normal,-1,0.0,,,-1,-1,5,5,cost,16.38937,100.15929,70.0,1,edge_4,cloud_0,0
2,normal,-1,0.0,,,-1,-1,6,6,latency,18.04405,64.07689,35.5,2,edge_3,cloud_0,0
2,normal,-1,0.0,,,-1,-1,7,7,reliability,20.21291,86.1917,57.0,3,edge_4,cloud_0,0
3,normal,-1,0.0,,,-1,-1,0,0,latency,6.7534,56.00926,34.0,1,edge_0,cloud_0,0
3,normal,-1,0.0,,,-1,-1,1,1,reliability,9.00023,79.47939,55.5,2,edge_4,cloud_0,0
3,normal,-1,0.0,,,-1,-1,2,2,cost,10.08187,105.3013,73.0,3,edge_3,cloud_0,0
3,normal,-1,0.0,,,-1,-1,3,3,latency,12.11912,64.11988,38.5,4,edge_4,cloud_0,0
3,normal,-1,0.0,,,-1,-1,4,4,reliability,13.95945,85.67827,60.0,5,edge_0,cloud_0,0
3,normal,-1,0.0,,,-1,-1,5,5,cost,16.96405,99.3937,70.0,1,edge_4,cloud_0,0
3,normal,-1,0.0,,,-1,-1,6,6,latency,18.13819,65.76649,35.5,2,edge_3,cloud_0,0
3,normal,-1,0.0,,,-1,-1,7,7,reliability,20.98899,85.4088,57.0,3,edge_4,cloud_0,0
4,normal,-1,0.0,,,-1,-1,0,0,latency,7.03395,55.42912,34.0,1,edge_0,cloud_0,0
4,normal,-1,0.0,,,-1,-1,1,1,reliability,8.86832,79.12117,55.5,2,edge_4,cloud_0,0
4,normal,-1,0.0,,,-1,-1,2,2,cost,10.78536,106.38014,73.0,3,edge_3,cloud_0,0
4,normal,-1,0.0,,,-1,-1,3,3,latency,13.49172,66.48077,38.5,4,edge_4,cloud_0,0
4,normal,-1,0.0,,,-1,-1,4,4,reliability,14.64034,85.97931,60.0,5,edge_0,cloud_0,0
4,normal,-1,0.0,,,-1,-1,5,5,cost,16.64304,98.2333,70.0,1,edge_4,cloud_0,0
