split,scenario,count,ratio,present
train,burst,7753,0.16425847457627119,1
train,link_congestion,7808,0.16542372881355932,1
train,mixed,7670,0.1625,1
train,node_overload,7675,0.16260593220338984,1
train,normal,16294,0.34521186440677964,1
val,burst,2759,0.17506345177664975,1
val,link_congestion,2725,0.17290609137055837,1
val,mixed,2631,0.16694162436548224,1
val,node_overload,2637,0.16732233502538071,1
val,normal,5008,0.3177664974619289,1
test,burst,2590,0.16434010152284265,1
test,link_congestion,2602,0.1651015228426396,1
test,mixed,2629,0.16681472081218274,1
test,node_overload,2616,0.16598984771573605,1
test,normal,5323,0.33775380710659897,1
