time,scenario,event_id,severity,affected_node,affected_link,affected_node_position,affected_link_position,src,dst,delay_ms,bandwidth,loss,jitter_ms,queue_delay_ms,bandwidth_util
0,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.79689,51.57595,0.002156,0.60347,0.7059,0.38211
0,normal,-1,0.0,,,-1,-1,access_0,edge_1,9.91023,52.03541,0.001155,0.53103,0.76018,0.36527
0,normal,-1,0.0,,,-1,-1,access_1,edge_2,10.02806,51.5296,0.0,0.58412,0.80827,0.38381
0,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.05834,51.27809,0.001102,0.62491,0.74765,0.39303
0,normal,-1,0.0,,,-1,-1,edge_0,edge_1,9.43435,52.43275,0.003457,0.64021,0.69482,0.35071
0,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.16679,51.49037,0.0,0.65395,0.82252,0.38525
0,normal,-1,0.0,,,-1,-1,edge_2,edge_3,8.92105,51.91379,0.004432,0.66445,0.69266,0.36973
0,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.56534,50.26014,0.005145,0.41561,0.86445,0.43035
0,normal,-1,0.0,,,-1,-1,edge_4,edge_0,10.13079,51.68693,0.0,0.21436,0.80428,0.37805
0,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,37.54299,70.27758,0.0,2.32533,2.92716,0.37128
0,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.71934,69.95572,0.00397,2.22002,3.00989,0.37999
0,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.42278,70.54992,0.001006,2.11347,2.85988,0.36391
1,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.52935,51.83845,0.002803,0.6243,0.82364,0.37249
1,normal,-1,0.0,,,-1,-1,access_0,edge_1,11.24366,51.50915,0.001447,0.76004,0.90802,0.38456
1,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.52531,51.73174,0.002275,0.54617,0.75292,0.3764
1,normal,-1,0.0,,,-1,-1,access_1,edge_3,9.34854,51.73182,0.001133,0.66935,0.73895,0.3764
1,normal,-1,0.0,,,-1,-1,edge_0,edge_1,11.12445,51.29163,0.001555,0.60675,0.91702,0.39254
1,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.87774,52.10838,0.001372,0.81639,0.82829,0.3626
1,normal,-1,0.0,,,-1,-1,edge_2,edge_3,10.06443,51.552,0.001789,0.49667,0.80946,0.38299
1,normal,-1,0.0,,,-1,-1,edge_3,edge_4,8.96498,52.88992,0.00484,0.55895,0.6287,0.33395
1,normal,-1,0.0,,,-1,-1,edge_4,edge_0,10.47136,51.71846,0.001762,0.62539,0.82877,0.37689
1,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,39.4532,69.17002,0.0,2.11282,3.32438,0.40124
1,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,33.54267,71.08529,0.003267,1.80921,2.46133,0.34942
1,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.58973,69.73165,0.0,2.19796,3.04741,0.38605
2,normal,-1,0.0,,,-1,-1,access_0,edge_0,8.0862,50.96065,0.002716,0.73075,0.68717,0.40467
2,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.21141,50.5137,0.000724,0.80119,0.9029,0.42105
2,normal,-1,0.0,,,-1,-1,access_1,edge_2,9.11509,50.84808,0.001259,0.59039,0.7825,0.40879
2,normal,-1,0.0,,,-1,-1,access_1,edge_3,10.56692,50.84029,0.0013,0.64425,0.90777,0.40908
2,normal,-1,0.0,,,-1,-1,edge_0,edge_1,10.32201,51.09446,0.003566,0.53156,0.86654,0.39976
2,normal,-1,0.0,,,-1,-1,edge_1,edge_2,10.62253,52.04854,0.003559,0.77091,0.81375,0.36479
2,normal,-1,0.0,,,-1,-1,edge_2,edge_3,9.36991,51.71126,0.001981,0.15034,0.74212,0.37715
2,normal,-1,0.0,,,-1,-1,edge_3,edge_4,9.63753,51.97589,0.002818,0.54348,0.74368,0.36745
2,normal,-1,0.0,,,-1,-1,edge_4,edge_0,9.46651,51.45977,0.004227,0.54063,0.7681,0.38637
2,normal,-1,0.0,,,-1,-1,edge_0,cloud_0,36.32706,70.32285,0.002581,1.87316,2.82301,0.37005
2,normal,-1,0.0,,,-1,-1,edge_2,cloud_0,37.22522,70.40226,0.0,2.28806,2.87602,0.3679
2,normal,-1,0.0,,,-1,-1,edge_4,cloud_0,37.15056,70.56799,0.004424,2.10169,2.83527,0.36342
3,normal,-1,0.0,,,-1,-1,access_0,edge_0,10.44412,50.81557,0.00389,0.83575,0.89921,0.40999
3,normal,-1,0.0,,,-1,-1,access_0,edge_1,10.81508,50.42835,0.005038,0.62016,0.96339,0.42418
