service_id,service_type,max_delay,max_loss,min_bandwidth,reliability_req,cost_weight
0,latency,105.0,0.05,20.0,0.99,0.2
1,reliability,150.0,0.022,15.0,0.999,0.3
2,cost,205.0,0.08,10.0,0.95,0.7
3,latency,105.0,0.05,20.0,0.99,0.2
4,reliability,150.0,0.022,15.0,0.999,0.3
5,cost,205.0,0.08,10.0,0.95,0.7
6,latency,105.0,0.05,20.0,0.99,0.2
7,reliability,150.0,0.022,15.0,0.999,0.3
8,cost,205.0,0.08,10.0,0.95,0.7
9,latency,105.0,0.05,20.0,0.99,0.2
10,reliability,150.0,0.022,15.0,0.999,0.3
11,cost,205.0,0.08,10.0,0.95,0.7
12,latency,105.0,0.05,20.0,0.99,0.2
13,reliability,150.0,0.022,15.0,0.999,0.3
14,cost,205.0,0.08,10.0,0.95,0.7
15,latency,105.0,0.05,20.0,0.99,0.2
16,reliability,150.0,0.022,15.0,0.999,0.3
17,cost,205.0,0.08,10.0,0.95,0.7
18,latency,105.0,0.05,20.0,0.99,0.2
19,reliability,150.0,0.022,15.0,0.999,0.3
20,cost,205.0,0.08,10.0,0.95,0.7
21,latency,105.0,0.05,20.0,0.99,0.2
22,reliability,150.0,0.022,15.0,0.999,0.3
23,cost,205.0,0.08,10.0,0.95,0.7
24,latency,105.0,0.05,20.0,0.99,0.2
25,reliability,150.0,0.022,15.0,0.999,0.3
26,cost,205.0,0.08,10.0,0.95,0.7
27,latency,105.0,0.05,20.0,0.99,0.2
28,reliability,150.0,0.022,15.0,0.999,0.3
29,cost,205.0,0.08,10.0,0.95,0.7
30,latency,105.0,0.05,20.0,0.99,0.2
31,reliability,150.0,0.022,15.0,0.999,0.3
32,cost,205.0,0.08,10.0,0.95,0.7
33,latency,105.0,0.05,20.0,0.99,0.2
34,reliability,150.0,0.022,15.0,0.999,0.3
35,cost,205.0,0.08,10.0,0.95,0.7
36,latency,105.0,0.05,20.0,0.99,0.2
37,reliability,150.0,0.022,15.0,0.999,0.3
38,cost,205.0,0.08,10.0,0.95,0.7
39,latency,105.0,0.05,20.0,0.99,0.2
40,reliability,150.0,0.022,15.0,0.999,0.3
41,cost,205.0,0.08,10.0,0.95,0.7
42,latency,105.0,0.05,20.0,0.99,0.2
43,reliability,150.0,0.022,15.0,0.999,0.3
44,cost,205.0,0.08,10.0,0.95,0.7
45,latency,105.0,0.05,20.0,0.99,0.2
46,reliability,150.0,0.022,15.0,0.999,0.3
47,cost,205.0,0.08,10.0,0.95,0.7
48,latency,105.0,0.05,20.0,0.99,0.2
49,reliability,150.0,0.022,15.0,0.999,0.3
50,cost,205.0,0.08,10.0,0.95,0.7
51,latency,105.0,0.05,20.0,0.99,0.2
52,reliability,150.0,0.022,15.0,0.999,0.3
53,cost,205.0,0.08,10.0,0.95,0.7
54,latency,105.0,0.05,20.0,0.99,0.2
55,reliability,150.0,0.022,15.0,0.999,0.3
56,cost,205.0,0.08,10.0,0.95,0.7
57,latency,105.0,0.05,20.0,0.99,0.2
58,reliability,150.0,0.022,15.0,0.999,0.3
59,cost,205.0,0.08,10.0,0.95,0.7
60,latency,105.0,0.05,20.0,0.99,0.2
61,reliability,150.0,0.022,15.0,0.999,0.3
62,cost,205.0,0.08,10.0,0.95,0.7
63,latency,105.0,0.05,20.0,0.99,0.2
64,reliability,150.0,0.022,15.0,0.999,0.3
65,cost,205.0,0.08,10.0,0.95,0.7
66,latency,105.0,0.05,20.0,0.99,0.2
67,reliability,150.0,0.022,15.0,0.999,0.3
68,cost,205.0,0.08,10.0,0.95,0.7
69,latency,105.0,0.05,20.0,0.99,0.2
70,reliability,150.0,0.022,15.0,0.999,0.3
71,cost,205.0,0.08,10.0,0.95,0.7
72,latency,105.0,0.05,20.0,0.99,0.2
73,reliability,150.0,0.022,15.0,0.999,0.3
74,cost,205.0,0.08,10.0,0.95,0.7
75,latency,105.0,0.05,20.0,0.99,0.2
76,reliability,150.0,0.022,15.0,0.999,0.3
77,cost,205.0,0.08,10.0,0.95,0.7
78,latency,105.0,0.05,20.0,0.99,0.2
79,reliability,150.0,0.022,15.0,0.999,0.3
